Time,Actual,Explicit Euler,Simpletic Euler
1.7149986,148.19933,133.16957,133.16957
1.7199986,148.95409,133.92435,133.92435
1.7249986,149.70886,134.67912,134.67912
1.7299986,150.46362,135.4339,135.4339
1.7349986,151.2184,136.18867,136.18867
1.7399986,151.97316,136.94345,136.94345
1.7449986,152.72794,137.69823,137.69823
1.7499986,153.4827,138.453,138.453
1.7549986,154.23747,139.20778,139.20778
1.7599986,154.99223,139.96255,139.96255
1.7649986,155.74701,140.71733,140.71733
1.7699986,156.50174,141.4721,141.4721
1.7749985,157.25652,142.22688,142.22688
1.7799985,158.01129,142.98166,142.98166
1.7849985,158.76605,143.73643,143.73643
1.7899985,159.52083,144.49121,144.49121
1.7949985,160.27559,145.24599,145.24599
1.7999985,161.03036,146.00076,146.00076
1.8049985,161.78513,146.75554,146.75554
1.8099985,162.5399,147.51031,147.51031
1.8149985,163.29466,148.26509,148.26509
1.8199985,164.04944,149.01987,149.01987
1.8249985,164.8042,149.77464,149.77464
1.8299985,165.55898,150.52942,150.52942
1.8349985,166.31374,151.2842,151.2842
1.8399985,167.06851,152.03897,152.03897
1.8449985,167.82327,152.79375,152.79375
1.8499985,168.57805,153.54852,153.54852
1.8549985,169.33281,154.3033,154.3033
1.8599985,170.08759,155.05807,155.05807
1.8649985,170.84235,155.81285,155.81285
1.8699985,171.59712,156.56763,156.56763
1.8749985,172.35188,157.3224,157.3224
1.8799984,173.10666,158.07718,158.07718
1.8849984,173.86142,158.83195,158.83195
1.8899984,174.6162,159.58673,159.58673
1.8949984,175.37096,160.3415,160.3415
1.8999984,176.12573,161.09628,161.09628
1.9049984,176.8805,161.85106,161.85106
1.9099984,177.63527,162.60583,162.60583
1.9149984,178.39003,163.36061,163.36061
1.9199984,179.1448,164.11539,164.11539
1.9249984,179.89957,164.87016,164.87016
1.9299984,180.65434,165.62494,165.62494
1.9349984,181.40909,166.37971,166.37971
1.9399984,182.16385,167.13449,167.13449
1.9449984,182.91862,167.88927,167.88927
1.9499984,183.67339,168.64404,168.64404
1.9549984,184.42816,169.39882,169.39882
1.9599984,185.18292,170.1536,170.1536
1.9649984,185.9377,170.90837,170.90837
1.9699984,186.69246,171.66315,171.66315
1.9749984,186.9885,172.41792,172.41792
1.9799984,187.22743,173.1727,173.1727
1.9849983,187.46637,173.92747,173.92747
1.9899983,187.70529,174.68225,174.68225
1.9949983,187.94423,175.43703,175.43703
1.9999983,188.18315,176.1918,176.1918
2.0049984,188.42209,176.94658,176.94658
2.0099986,188.66104,177.70135,177.70135
2.0149987,188.89996,178.45613,178.45613
2.0199988,189.1389,179.2109,179.2109
2.024999,189.37784,179.96568,179.96568
2.029999,189.61678,180.72046,180.72046
2.0349991,189.85571,181.47523,181.47523
2.0399992,190.09465,182.23001,182.23001
2.0449994,190.33359,182.98479,182.98479
2.0499995,190.57253,183.73956,183.73956
2.0549996,190.81145,184.49434,184.49434
2.0599997,191.05038,185.24911,185.24911
2.0649998,191.28934,186.00389,186.00389
2.07,191.52826,186.75867,186.75867
2.075,191.7672,187.51344,187.51344
2.0800002,192.00613,188.26822,188.26822
2.0850003,192.24507,189.023,189.023
2.0900004,192.48401,188.36029,188.36029
2.0950005,192.72295,188.59923,188.59923
2.1000006,192.96188,188.83817,188.83817
2.1050007,193.20082,189.0771,189.0771
2.1100008,193.43976,189.31604,189.31604
2.115001,193.67868,189.55498,189.55498
2.120001,193.91763,189.79391,189.79391
2.1250012,194.15657,190.03285,190.03285
2.1300013,194.39551,190.27179,190.27179
2.1350014,194.63443,190.51073,190.51073
2.1400015,194.87337,190.74966,190.74966
2.1450016,195.1123,190.9886,190.9886
2.1500018,195.35126,191.22754,191.22754
2.1550019,195.59018,191.46648,191.46648
